NAME;EXPONENT;SIZE;TIME
brute_force;3;8;5886
better_brute_force;3;8;3178
divide_and_conquer;3;8;24625
better_divide_and_conquer;3;8;3316
brute_force;3.25;10;6718
better_brute_force;3.25;10;3592
divide_and_conquer;3.25;10;25036
better_divide_and_conquer;3.25;10;3820
brute_force;3.5;11;8876
better_brute_force;3.5;11;4424
divide_and_conquer;3.5;11;31797
better_divide_and_conquer;3.5;11;4628
brute_force;3.75;13;12254
better_brute_force;3.75;13;8812
divide_and_conquer;3.75;13;33072
better_divide_and_conquer;3.75;13;6242
brute_force;4;16;18140
better_brute_force;4;16;9857
divide_and_conquer;4;16;45305
better_divide_and_conquer;4;16;9535
brute_force;4.25;19;25737
better_brute_force;4.25;19;13231
divide_and_conquer;4.25;19;53160
better_divide_and_conquer;4.25;19;40345
brute_force;4.5;23;38868
better_brute_force;4.5;23;18805
divide_and_conquer;4.5;23;66447
better_divide_and_conquer;4.5;23;50605
brute_force;4.75;27;48986
better_brute_force;4.75;27;24834
divide_and_conquer;4.75;27;81308
better_divide_and_conquer;4.75;27;59198
brute_force;5;32;74140
better_brute_force;5;32;34861
divide_and_conquer;5;32;104260
better_divide_and_conquer;5;32;73146
brute_force;5.25;38;105366
better_brute_force;5.25;38;51664
divide_and_conquer;5.25;38;126314
better_divide_and_conquer;5.25;38;94796
brute_force;5.5;45;140131
better_brute_force;5.5;45;63245
divide_and_conquer;5.5;45;130239
better_divide_and_conquer;5.5;45;107106
brute_force;5.75;54;201523
better_brute_force;5.75;54;97370
divide_and_conquer;5.75;54;166673
better_divide_and_conquer;5.75;54;133960
brute_force;6;64;267050
better_brute_force;6;64;133795
divide_and_conquer;6;64;215909
better_divide_and_conquer;6;64;151030
brute_force;6.25;76;380615
better_brute_force;6.25;76;184964
divide_and_conquer;6.25;76;265085
better_divide_and_conquer;6.25;76;202375
brute_force;6.5;91;544407
better_brute_force;6.5;91;259843
divide_and_conquer;6.5;91;303612
better_divide_and_conquer;6.5;91;237690
brute_force;6.75;108;753015
better_brute_force;6.75;108;360952
divide_and_conquer;6.75;108;368478
better_divide_and_conquer;6.75;108;281140
brute_force;7;128;1045894
better_brute_force;7;128;503605
divide_and_conquer;7;128;469245
better_divide_and_conquer;7;128;343117
brute_force;7.25;152;1451179
better_brute_force;7.25;152;697769
divide_and_conquer;7.25;152;565582
better_divide_and_conquer;7.25;152;436308
brute_force;7.5;181;2069198
better_brute_force;7.5;181;986899
divide_and_conquer;7.5;181;647600
better_divide_and_conquer;7.5;181;517358
brute_force;7.75;215;2928001
better_brute_force;7.75;215;1387634
divide_and_conquer;7.75;215;798323
better_divide_and_conquer;7.75;215;617375
brute_force;8;256;4069680
better_brute_force;8;256;1975714
divide_and_conquer;8;256;1007679
better_divide_and_conquer;8;256;747501
brute_force;8.25;304;5849963
better_brute_force;8.25;304;2795761
divide_and_conquer;8.25;304;1257647
better_divide_and_conquer;8.25;304;1007611
brute_force;8.5;362;8182227
better_brute_force;8.5;362;3925055
divide_and_conquer;8.5;362;1438665
better_divide_and_conquer;8.5;362;1161199
brute_force;8.75;431;11532524
better_brute_force;8.75;431;5564103
divide_and_conquer;8.75;431;1745948
better_divide_and_conquer;8.75;431;1371470
brute_force;9;512;16372615
better_brute_force;9;512;7852568
divide_and_conquer;9;512;2217768
better_divide_and_conquer;9;512;1680405
brute_force;9.25;609;22983062
better_brute_force;9.25;609;11086053
divide_and_conquer;9.25;609;2753672
better_divide_and_conquer;9.25;609;2233805
brute_force;9.5;724;32434199
better_brute_force;9.5;724;15719629
divide_and_conquer;9.5;724;3176810
better_divide_and_conquer;9.5;724;2612404
brute_force;9.75;861;46205945
better_brute_force;9.75;861;22240069
divide_and_conquer;9.75;861;3861106
better_divide_and_conquer;9.75;861;3075540
brute_force;10;1024;64976090
better_brute_force;10;1024;31256569
divide_and_conquer;10;1024;4846310
better_divide_and_conquer;10;1024;3718373
brute_force;10.25;1218;92487323
better_brute_force;10.25;1218;44102254
divide_and_conquer;10.25;1218;6071767
better_divide_and_conquer;10.25;1218;5049802
brute_force;10.5;1448;130721942
better_brute_force;10.5;1448;62539457
divide_and_conquer;10.5;1448;7014235
better_divide_and_conquer;10.5;1448;5936351
brute_force;10.75;1722;184326156
better_brute_force;10.75;1722;88429419
divide_and_conquer;10.75;1722;8430491
better_divide_and_conquer;10.75;1722;6949503
brute_force;11;2048;261392163
better_brute_force;11;2048;125559098
divide_and_conquer;11;2048;10568421
better_divide_and_conquer;11;2048;8299028
brute_force;11.25;2435;369551291
better_brute_force;11.25;2435;177569704
divide_and_conquer;11.25;2435;13095210
better_divide_and_conquer;11.25;2435;11171896
brute_force;11.5;2896;522396622
better_brute_force;11.5;2896;251342188
divide_and_conquer;11.5;2896;15361653
better_divide_and_conquer;11.5;2896;13196863
brute_force;11.75;3444;738527082
better_brute_force;11.75;3444;355515098
divide_and_conquer;11.75;3444;18388908
better_divide_and_conquer;11.75;3444;15344204
brute_force;12;4096;1044492028
better_brute_force;12;4096;503052242
divide_and_conquer;12;4096;22809740
better_divide_and_conquer;12;4096;18459537
brute_force;12.25;4871;1476121222
better_brute_force;12.25;4871;711673050
divide_and_conquer;12.25;4871;28495319
better_divide_and_conquer;12.25;4871;24533952
brute_force;12.5;5793;2088463998
better_brute_force;12.5;5793;1006318124
divide_and_conquer;12.5;5793;32878054
better_divide_and_conquer;12.5;5793;28541007
brute_force;12.75;6889;2951162519
better_brute_force;12.75;6889;1423653859
divide_and_conquer;12.75;6889;39606285
better_divide_and_conquer;12.75;6889;33482175
brute_force;13;8192;4175299291
better_brute_force;13;8192;2014146605
divide_and_conquer;13;8192;48990154
better_divide_and_conquer;13;8192;39977974
brute_force;13.25;9742;5910882374
better_brute_force;13.25;9742;2853376751
divide_and_conquer;13.25;9742;60887074
better_divide_and_conquer;13.25;9742;53136896
brute_force;13.5;11585;8351705170
better_brute_force;13.5;11585;4028499168
divide_and_conquer;13.5;11585;70477323
better_divide_and_conquer;13.5;11585;62000162
brute_force;13.75;13777;11812317058
better_brute_force;13.75;13777;5696880126
divide_and_conquer;13.75;13777;84887900
better_divide_and_conquer;13.75;13777;72832586
brute_force;14;16384;16708623632
better_brute_force;14;16384;8056755974
divide_and_conquer;14;16384;104404130
better_divide_and_conquer;14;16384;86732899
brute_force;14.25;19484;23633211809
better_brute_force;14.25;19484;11396793236
divide_and_conquer;14.25;19484;130179941
better_divide_and_conquer;14.25;19484;114749676
brute_force;14.5;23170;33421030513
better_brute_force;14.5;23170;16119935074
divide_and_conquer;14.5;23170;150723479
better_divide_and_conquer;14.5;23170;134051855
brute_force;14.75;27554;47265067172
better_brute_force;14.75;27554;22792986296
divide_and_conquer;14.75;27554;180812010
better_divide_and_conquer;14.75;27554;157175202
brute_force;15;32768;66845202793
better_brute_force;15;32768;32238927301
divide_and_conquer;15;32768;222475839
better_divide_and_conquer;15;32768;187392437
